ID_Number,ID,Site_Name,Special,Longitiude_E,Latitude_N,Altitude_MASL,Era,Culture,Date_Start,Date_End,NonGrave_Structure,Grave_Type,Number_Chullpa,Number_Cave,Number_Subterranean,Number_Platform,Burials_NUM,Burials,Ceramic_NUM,Ceramic,Ceramic_Type,Ceramic_Type_Num,Metal_Num,Metal,MNI,Adult_Male,Adult_Female,Adule_Indeterminate,Total_Adult,Total_Subadult,Total_Infant
20,BARBOSA_3,Yu_16,Kenshu Antapampa,203440,8994180,3480,LR,Recuay,500,1000,Mound,Chullpa & Subterranean & Cave,14,15,13,0,1,YES,1,YES,Akillpoo,3,0,No,0,0,0,0,0,0,0
21,PONTE_1,PAn5_34,Ama,216267.6,8956527.76,3534,RE,Recuay,500,650,Mound,Chamber,0,0,4,0,1,YES,1,YES,Moche,3,1,Yes,18,7,5,2,14,4,0
22,PONTE_2,PAn5_35,Quitapampa A,215958.68,8956650.29,3571,RE,Recuay,500,650,NONE,Chamber,0,0,1,0,0,NO,1,YES,Kaolin,2,1,Yes,0,0,0,0,0,0,0
23,PONTE_3,PAn5_42,Quitapampa B,215921.39,8956700.02,3565,RE,Recuay,500,650,Roadway,Chamber,0,0,3,0,0,NO,1,YES,Moche,3,0,No,0,0,0,0,0,0,0
24,PONTE_4,Pan5_50,Quitapampa C,215922.62,8956692,3566,LR,Recuay,700,1000,Terrace,Chamber,0,0,3,0,0,NO,1,YES,Recuay,1,1,Yes,0,0,0,0,0,0,0
25,PONTE_5,PAn5_49,Ama II A,215944.11,8956785.85,3534,RE,Recuay,200,500,Terrace,Cave,0,1,0,0,1,YES,0,NO,Plain,1,0,No,1,1,0,0,1,0,0
26,PONTE_6,PAn5_49,Ama II B,215949.84,8956790.19,3532,RE,Recuay,500,650,Terrace,Chamber,0,0,1,0,1,YES,1,YES,Kaolin,2,1,Yes,9,4,2,1,7,1,0
27,PONTE_7,PAn5_49,Ama II D,215932.23,8956773.01,3525,PR,Post_Recuay,1000,1470,Roadway,Chamber,0,0,2,0,1,YES,1,YES,Post_Recuay,1,1,Yes,6,4,1,0,5,1,0
28,PONTE_8,PAn5_38,Horno Jirca,216313.28,8957692.64,3319,RE,Recuay,200,500,NONE,Chamber,0,0,3,0,1,YES,1,YES,Kaolin,2,1,Yes,8,3,2,1,6,2,0
29,PONTE_9,PAn5_43,Cochapampa,216345.78,8957488.78,3357,LR,Recuay,700,1000,NONE,Chamber,0,0,4,0,1,YES,1,YES,Recuay,1,1,Yes,88,0,2,9,11,6,71
30,PONTE_10,PAn5_64,Marca Jirka,224527.25,8946993.89,3276,RE,Recuay,500,650,Domestic,Chamber,0,0,6,0,1,YES,1,YES,Kaolin,2,1,Yes,8,0,0,2,2,3,3
31,Ibarra_1,49,Marcajirca,265430,8962250,3750,IT/HT,Post_Recuay,1000,1470,Residential,Chullpa & Cave,38,19,0,0,1,Yes,1,Yes,<NULL>,1,1,Yes,,,,,,,
32,Ibarra_2,55,Pan de Azucar,268440,8960820,3280,IT/IT,Recuay_Various,0,1470,Walls,Platform,,,,1,1,Yes,1,Yes,<NULL>,1,0,No,,,,,,,
33,Ibarra_3,56,Ñawpamarca de Huachis,269740,8959970,3860,Int Tardio,Post_Recuay,1000,1470,Terraces,NONE,,,,,0,No,1,Yes,<NULL>,1,0,No,,,,,,,
34,Ibarra_4,57,Torre de Jatonviejo,272410,8959170,3710,Int Tardio,Post_Recuay,1000,1470,NONE,Cave,,1,,,1,Yes,1,Yes,<NULL>,1,0,No,15 crania,,,,,,
35,Ibarra_5,58,Wiñaj,271080,8956920,4290,Int Tardio,Post_Recuay,1000,1470,Corral,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
