ID,Site_Name,Special,Longitiude_E,Latitude_N,Location,Altitude_MASL,Era,Culture,Date_Start,Date_End,NonGrave_Structure,Grave_Type,Number_Chullpa,Number_Cave,Number_Subterranean,Number_Platform,Burials,Ceramic,Ceramic_Type,MNI,Adult_Male,Adult_Female,Adule_Indeterminate,Total_Adult,Total_Subadult,Total_Infant
1,Yu_13,Oqtawain ,201570,8996380,"201570., 8996380.",3410,LR,Recuay,500,1000,Canal,Chullpa,11,0,0,0,YES,YES,Recuay,0,0,0,0,0,0,0
2,Yu_14,Collpacatac,201800,8995900,"201800.,8995900.",3350,LR,Recuay,500,1000,Canal,Chullpa & Subterranean,55,0,2,0,YES,YES,Recuay,0,0,0,0,0,0,0
3,Yu_16,Kenshu Antapampa,203440,8994180,"203440.,8994180.",3480,LR,Recuay,500,1000,Mound,Chullpa & Subterranean & Cave,14,15,13,0,YES,YES,Akillpoo,0,0,0,0,0,0,0
