ID_Number,ID,Site_Name,Special Site Name,Longitiude_E,Latitude_N,Altitude_MASL,Era,Culture,ID_Number,Date_Start,Date_End,NonGrave_Structure,Grave_Type,Number_Chullpa,Number_Cave,Number_Subterranean,ID_Number,Number_Platform,Burials_NUM,Burials,Ceramic_NUM,Ceramic,Ceramic_Type,Ceramic_Type_Num,Metal_Num,Metal,ID_Number,MNI,Adult_Male,Adult_Female,Adule_Indeterminate,Total_Adult,Total_Subadult,Total_Infant
28,PONTE_9,PAn5_43,Cochapampa,216345.8,8957488.8,3357,LR,Recuay,28,700,1000,NONE,Chamber,0,0,4,28,0,1,Yes,1,Yes,Recuay,1,1,Yes,28,88,0,2,9,11,6,71
29,PONTE_10,PAn5_64,Marca Jirka,224527.3,8946993.9,3276,RE,Recuay,29,500,650,Domestic,Chamber,0,0,6,29,0,1,Yes,1,Yes,Kaolin,2,1,Yes,29,8,0,0,2,2,3,3
30,Ibarra_2,55,Pan de Azucar,268440,8960820,3280,IT/IT,Recuay_Various,30,0,1470,Walls,Platform,0,0,0,30,1,1,Yes,1,Yes,<NULL>,1,0,No,30,0,0,0,0,0,0,0
31,Ibarra_14,75,Yamllipitec,262120,8969830,3120,HT/IT,Recuay,31,-200,700,Mound,NONE,0,0,0,31,0,0,No,1,Yes,<NULL>,1,0,No,31,0,0,0,0,0,0,0
32,Ibarra_15,76,Cashapallan,261600,8967940,3190,HT/IT,Recuay,32,-200,700,Mound,NONE,0,0,0,32,0,0,No,1,Yes,<NULL>,1,0,No,32,0,0,0,0,0,0,0
33,Ibarra_16,77,Ñawpamarca de Acopalca,256020,8969400,3690,HT/IT,Recuay,33,-200,700,Wall,NONE,0,0,0,33,0,0,No,0,No,NONE,0,0,No,33,0,0,0,0,0,0,0
ID_Number,ID,Site_Name,Special Site Name,Longitiude_E,Latitude_N,Altitude_MASL,Era,Culture,ID_Number,Date_Start,Date_End,NonGrave_Structure,Grave_Type,Number_Chullpa,Number_Cave,Number_Subterranean,ID_Number,Number_Platform,Burials_NUM,Burials,Ceramic_NUM,Ceramic,Ceramic_Type,Ceramic_Type_Num,Metal_Num,Metal,ID_Number,MNI,Adult_Male,Adult_Female,Adule_Indeterminate,Total_Adult,Total_Subadult,Total_Infant
34,Ibarra_18,80,Mashuanco,262240,8963390,3280,IT,Recuay,34,0,700,NONE,Cave,0,0,0,34,0,1,Yes,1,Yes,<NULL>,1,0,No,34,0,0,0,0,0,0,0
35,Ibarra_19,84,Yacya,262020,8961930,3370,IT/IT,Recuay_Various,35,0,1470,Wall,NONE,0,0,0,35,0,0,No,1,Yes,<NULL>,1,0,No,35,0,0,0,0,0,0,0
36,Ibarra_20,105,Chullin 2,260230,8965880,3461,IT,Recuay,36,0,700,Platform,NONE,0,0,0,36,0,0,No,1,Yes,Kaolin,2,0,No,36,0,0,0,0,0,0,0
